Date,Time,Measurement,Value,Unit,Comment
7/05/2022,10:16:08,Bodyweight,68.3,kgs,
15/03/2022,11:30:30,Bodyweight,70.5,kgs,
31/01/2023,16:55:59,Bodyweight,75,kgs,
1/02/2023,20:04:50,Bodyweight,75.5,kgs,
2/02/2023,7:47:03,Bodyweight,75.2,kgs,
3/02/2023,8:38:44,Bodyweight,75.5,kgs,
4/02/2023,6:28:28,Bodyweight,75.8,kgs,
5/02/2023,6:35:25,Bodyweight,76.2,kgs,yesterday late just fry + Korean food + beer
7/02/2023,10:41:34,Bodyweight,75.8,kgs,
8/02/2023,8:49:27,Bodyweight,75.9,kgs,
10/02/2023,14:45:41,Bodyweight,76.4,kgs,
12/02/2023,6:25:06,Bodyweight,76.4,kgs,
19/02/2023,8:05:45,Bodyweight,77.1,kgs,"prob bloated, had a big late meal of pizza and chips"
1/03/2023,20:04:16,Bodyweight,77.2,kgs,
7/03/2023,15:13:18,Bodyweight,77.3,kgs,
13/03/2023,12:58:58,Bodyweight,78.2,kgs,
20/03/2023,6:41:08,Bodyweight,78.4,kgs,
1/11/2023,6:30:08,Bodyweight,71.1,kgs,
